序号_E,提交时间_E,答题时长_E,问卷来源_E,来源详情_E,问卷总分_E,性别_1_1_E,年龄_1_2_E,健康状况_1_3_E,居住行政区_1_4_E,养老居住场景_1_5_E,居家跌倒经历_1_6_E,已装扶手_1_7_E,扶手安装场景_卫生间_2_1_1_E,扶手安装场景_床边_2_1_2_E,扶手安装场景_楼道_2_1_3_E,扶手安装场景_阳台_2_1_4_E,扶手安装场景_其他_2_1_5_E,扶手偏好类型_基础不锈钢_2_2_1_E,可接受价格_2_3_E,补贴期望_提高力度_2_4_1_E,补贴期望_简化流程_2_4_2_E,补贴期望_差异化补贴_2_4_3_E,补贴期望_社区代办_2_4_4_E,补贴期望_其他_2_4_5_E,风险收益_3_1_1_E,风险收益_3_1_2_E,风险收益_3_1_3_E,风险收益_3_1_4_E,社会支持_3_2_1_E,社会支持_3_2_2_E,社会支持_3_2_3_E,社会支持_3_2_4_E,政策适配_3_3_1_E,政策适配_3_3_2_E,政策适配_3_3_3_E,政策适配_3_3_4_E,生活依赖_3_4_1_E,生活依赖_3_4_2_E,生活依赖_3_4_3_E,生活依赖_3_4_4_E,使用意愿_3_5_1_E,使用意愿_3_5_2_E,使用意愿_3_5_3_E,产品设计改进建议_4_1_E,政府社区支持建议_4_2_E
102,2026-02-23T09:25:31Z,315,微信,,74,1,2,1,2,2,1,2,1,0,1,1,0,3,4,1,1,0,0,0,3,2,3,3,5,5,5,4,5,4,3,4,3,5,4,2,5,5,4,有些设计看着高级，实际用起来别扭，多找我们老年人试试再量产。,别光给钱不管事，后续使用问题也得有人兜底。
103,2026-02-23T09:26:13Z,219,微信,,59,2,4,2,2,1,2,2,1,1,1,0,0,1,2,1,1,0,0,0,3,2,1,2,3,3,5,1,5,5,2,3,4,4,3,4,5,2,2,,
104,2026-02-23T09:27:45Z,349,微信,,63,2,2,1,3,1,2,2,1,0,1,0,0,3,2,0,0,0,1,0,4,4,4,5,3,3,3,2,3,3,3,3,2,1,3,3,4,5,5,操作说明字太小，戴老花镜都看不清，印大点不行吗？,扶手标准得统一，别这家装不锈钢那家装塑料，质量参差不齐。
105,2026-02-23T09:28:31Z,299,微信,,75,1,2,1,2,1,1,2,1,1,0,0,0,3,5,1,1,1,0,0,2,4,2,5,5,5,5,4,4,4,3,4,5,4,3,4,4,3,5,,
106,2026-02-23T09:28:57Z,210,微信,,73,2,2,1,3,1,1,2,1,0,1,0,0,3,2,1,1,0,0,0,3,4,4,5,3,5,4,3,5,4,4,5,3,3,3,3,4,4,4,,
107,2026-02-23T09:29:44Z,334,微信,,90,1,2,1,3,2,1,2,1,0,1,0,0,3,1,1,1,0,0,1,5,5,5,5,4,5,4,4,5,5,5,4,5,4,5,5,5,5,5,,
108,2026-02-23T09:30:24Z,289,微信,,80,2,4,3,3,3,2,2,1,0,1,0,0,2,2,1,1,1,0,1,5,4,4,5,4,3,5,5,3,4,4,4,5,4,4,4,5,4,4,颜色跟墙一样白，老花眼根本看不清在哪，弄个红的蓝的多好找。,希望居委会牵头，统一采购便宜点的扶手，别让我们自己东奔西跑比价。
109,2026-02-23T09:30:33Z,201,微信,,62,1,1,1,6,1,1,1,1,1,1,1,0,1,2,1,0,0,0,0,4,4,4,5,4,4,3,4,2,3,3,2,2,3,2,2,4,4,3,,
110,2026-02-23T09:31:54Z,209,微信,,68,2,4,3,5,3,2,2,0,1,0,1,0,1,1,0,0,1,0,0,4,5,4,4,4,4,2,4,2,3,3,1,4,4,5,5,5,2,3,别让扶手突出太多，走路容易磕到腿，贴墙一点更安全。,独居老人优先安排，我们摔了可能几天都没人知道。
111,2026-02-23T09:32:08Z,294,微信,,61,2,1,2,2,2,2,2,1,1,1,1,0,3,3,0,1,0,0,0,4,3,3,3,3,4,3,3,3,4,4,4,3,3,4,3,3,2,2,扶手内侧最好有点凹槽，手指能卡住，比光杆子牢靠多了。,安装后发个小卡片，写清楚保修电话和使用注意事项，别说完就走。
112,2026-02-23T09:33:47Z,239,微信,,58,1,3,2,2,1,1,2,1,0,0,1,0,5,2,1,1,0,0,0,2,2,3,3,5,5,4,5,3,4,3,5,2,1,2,2,3,1,3,,
113,2026-02-23T09:35:08Z,253,微信,,50,2,1,2,3,1,1,1,1,0,1,1,0,3,5,1,1,0,0,1,3,1,1,2,4,2,3,4,4,3,4,4,2,2,1,1,3,3,3,,
114,2026-02-23T09:36:50Z,194,微信,,62,1,2,1,1,1,2,1,1,0,0,0,0,2,1,0,1,0,0,0,3,5,4,5,3,3,2,2,3,4,3,2,3,3,3,3,4,3,4,,
115,2026-02-23T09:38:05Z,318,微信,,68,1,1,1,3,1,2,2,1,1,1,1,0,4,2,1,0,1,0,0,5,5,5,5,4,5,5,5,3,3,1,1,2,2,2,2,4,5,4,扶手别太硬，摔下去胳膊硌得慌，软包边缘缓冲一下多好。,别把好事办成形式主义，装了不用等于白装，得跟踪使用率。
116,2026-02-23T09:38:20Z,295,微信,,74,2,3,2,3,4,1,2,1,1,1,1,0,1,1,1,1,0,0,0,3,4,5,4,5,4,5,4,3,3,3,3,4,4,4,3,4,4,5,别做成冷冰冰的不锈钢，看着就拒人千里，木头或者仿木纹更亲切。,装完没人回访，不知道牢不牢，过一个月派人来看看多安心。
117,2026-02-23T09:39:29Z,220,微信,,88,2,4,3,3,2,1,2,1,0,1,1,0,5,2,0,1,0,0,0,5,5,5,5,5,5,4,5,3,4,5,4,5,5,5,4,4,5,5,尺寸统一不好，南方人北方人身形差得多，得有不同规格可选。,高层住户搬运困难，社区能不能帮忙协调电梯或送货上门？
118,2026-02-23T09:40:11Z,197,微信,,80,2,4,3,2,1,1,2,1,0,1,0,1,3,1,1,0,1,0,1,5,4,5,5,5,5,4,4,4,5,4,5,3,4,4,4,4,2,4,手掌出汗多，光滑表面根本抓不住，加点橡胶套吧。,安装前先试用样品，摸摸手感、试试高度，合适再固定。
119,2026-02-23T09:40:22Z,192,微信,,63,1,3,1,3,1,2,2,1,0,1,0,1,2,3,0,0,0,1,0,3,2,2,3,3,4,3,3,5,3,3,5,3,3,5,3,3,3,4,,
120,2026-02-23T09:40:24Z,342,微信,,62,1,1,2,1,3,1,1,1,1,1,1,0,1,2,0,0,1,1,0,3,2,4,3,4,4,4,3,3,4,5,4,2,3,4,3,2,2,3,操作别依赖手机APP，我们谁会弄那个？物理按键最实在。,材料环保点，别有刺鼻味，老人呼吸道弱，闻着不舒服。
121,2026-02-23T09:41:38Z,202,微信,,87,2,2,1,2,2,2,2,1,0,0,1,1,3,2,1,0,0,0,0,5,5,5,5,4,5,5,5,4,4,4,5,5,4,5,4,4,4,5,,
